Item_ID,Item_Name,Item_Description,Price,Weight (g),Category
152,Salmon,Premium salmon packed with nutrients.,7.93,2246,Seafood
153,Cottage Cheese,Sugar-free cottage cheese with natural ingredients.,0.62,1292,Dairy
154,Smoothie,Gluten-free smoothie packed with nutrients.,5.86,2903,Beverages
155,Nuts,Low-fat nuts no added sugar.,2.61,1883,Snacks
156,Tomato,Delicious tomato from local farms.,5.28,900,Vegetables
157,Strawberry,Premium strawberry with natural ingredients.,10.89,1789,Fruits
158,Popcorn,Fresh popcorn packed with nutrients.,4.8,2232,Snacks
159,Pasta,Sugar-free pasta packed with nutrients.,16.69,2267,Pantry
160,Muffin,Imported muffin from local farms.,10.06,449,Bakery
161,Lemonade,Imported lemonade with natural ingredients.,3.4,2908,Beverages
162,Soda,Delicious soda with natural ingredients.,7.03,2296,Beverages
163,Pretzels,Premium pretzels hand-picked.,8.68,1711,Snacks
164,Kiwi,Imported kiwi packed with nutrients.,0.93,1983,Fruits
165,Onion,Premium onion from local farms.,10.87,792,Vegetables
166,Rice,Sugar-free rice no added sugar.,13.82,374,Pantry
167,Cereal,Delicious cereal no added sugar.,4.27,126,Pantry
168,Ham,Imported ham packed with nutrients.,9.47,1801,Meat
169,Lamb Chops,Imported lamb chops no added sugar.,1.51,2566,Meat
170,Chicken Breast,Delicious chicken breast from local farms.,16.37,2098,Meat
171,Broccoli,Low-fat broccoli packed with nutrients.,12.62,1953,Vegetables
172,Smoothie,Organic smoothie hand-picked.,1.27,437,Beverages
173,Banana,Imported banana no added sugar.,16.89,2040,Fruits
174,Orange Juice,Fresh orange juice hand-picked.,14.32,1687,Beverages
175,Pork Chops,Locally sourced pork chops packed with nutrients.,8.23,879,Meat
176,Lamb Chops,Imported lamb chops no added sugar.,5.05,967,Meat
177,Cucumber,Fresh cucumber no added sugar.,14.6,550,Vegetables
178,Ground Beef,Low-fat ground beef with natural ingredients.,10.34,2500,Meat
179,Beef Steak,Premium beef steak from local farms.,12.62,375,Meat
180,Sugar,Organic sugar with natural ingredients.,8.23,2984,Pantry
181,Flour,Gluten-free flour packed with nutrients.,1.79,294,Pantry
182,Baguette,Fresh baguette with natural ingredients.,13.01,1572,Bakery
183,Rice,Sugar-free rice no added sugar.,6.98,2045,Pantry
184,Granola Bar,Locally sourced granola bar packed with nutrients.,4.95,790,Snacks
185,Crackers,Imported crackers with natural ingredients.,3.3,2591,Snacks
186,Crackers,Low-fat crackers from local farms.,14.38,802,Snacks
187,Banana,Delicious banana with natural ingredients.,8.46,2556,Fruits
188,Mango,Gluten-free mango packed with nutrients.,14.1,2428,Fruits
189,Octopus,Imported octopus packed with nutrients.,1.3,1396,Seafood
190,Octopus,Premium octopus hand-picked.,3.53,2686,Seafood
191,Ground Beef,Imported ground beef packed with nutrients.,8.81,2768,Meat
192,Cod,Sugar-free cod with natural ingredients.,5.43,633,Seafood
193,Onion,Imported onion no added sugar.,19.24,1848,Vegetables
194,Trail Mix,Gluten-free trail mix from local farms.,9.37,289,Snacks
195,Pineapple,Organic pineapple no added sugar.,2.53,1166,Fruits
196,Apple,Imported apple from local farms.,10.15,874,Fruits
197,Tuna,Gluten-free tuna hand-picked.,3.77,762,Seafood
198,Lamb Chops,Locally sourced lamb chops no added sugar.,1.08,2054,Meat
199,Salt,Fresh salt with natural ingredients.,3.39,1906,Pantry
200,Cake,Delicious cake with natural ingredients.,14.96,304,Bakery
201,Strawberry,Low-fat strawberry no added sugar.,10.29,1954,Fruits
202,Salmon,Premium salmon hand-picked.,5.77,2224,Seafood
203,Octopus,Premium octopus with natural ingredients.,9.93,2658,Seafood
204,Beef Steak,Imported beef steak packed with nutrients.,10.58,1307,Meat
205,Frozen Peas,Low-fat frozen peas packed with nutrients.,19.08,580,Frozen
206,Ice Cream,Low-fat ice cream with natural ingredients.,7.67,1009,Frozen
207,Pepper,Delicious pepper hand-picked.,18.39,1952,Vegetables
208,Banana,Fresh banana from local farms.,19.18,697,Fruits
209,Lactose-Free Milk,Locally sourced lactose-free milk from local farms.,5.74,1760,Dairy
210,Lemonade,Sugar-free lemonade hand-picked.,11.35,223,Beverages
211,Iced Tea,Low-fat iced tea no added sugar.,4.2,1572,Beverages
212,Sardines,Organic sardines no added sugar.,16.54,1103,Seafood
213,Turkey,Imported turkey packed with nutrients.,17.31,202,Meat
214,Pretzels,Locally sourced pretzels with natural ingredients.,8.55,1217,Snacks
215,Pear,Imported pear with natural ingredients.,7.76,1898,Fruits
216,Flour,Fresh flour from local farms.,19.75,819,Pantry
217,Bacon,Delicious bacon hand-picked.,0.76,518,Meat
218,Coffee,Fresh coffee no added sugar.,14.8,1579,Beverages
219,Salt,Imported salt hand-picked.,6.79,2205,Pantry
220,Broccoli,Fresh broccoli from local farms.,4.91,2950,Vegetables
221,Lactose-Free Milk,Sugar-free lactose-free milk packed with nutrients.,19.37,2753,Dairy
222,Iced Tea,Low-fat iced tea from local farms.,12.81,2890,Beverages
223,Turkey,Premium turkey hand-picked.,0.79,1246,Meat
224,Turkey,Imported turkey from local farms.,18.19,2191,Meat
225,Frozen Corn,Gluten-free frozen corn packed with nutrients.,17.85,1611,Frozen
226,Pasta,Gluten-free pasta from local farms.,14.92,215,Pantry
227,Pepper,Organic pepper no added sugar.,6.48,2811,Vegetables
228,Flour,Delicious flour no added sugar.,11.88,2280,Pantry
229,Salmon,Low-fat salmon no added sugar.,15.55,1736,Seafood
230,Mango,Low-fat mango hand-picked.,15.29,2185,Fruits
231,Frozen Berries,Sugar-free frozen berries packed with nutrients.,6.19,1490,Frozen
232,Turkey,Low-fat turkey from local farms.,18.92,743,Meat
233,Sugar,Premium sugar with natural ingredients.,6.92,2667,Pantry
234,Pepper,Fresh pepper hand-picked.,10.45,1964,Vegetables
235,Donut,Gluten-free donut hand-picked.,11.0,733,Bakery
236,Sardines,Gluten-free sardines no added sugar.,17.11,1448,Seafood
237,Mussels,Gluten-free mussels from local farms.,19.33,427,Seafood
238,Frozen Berries,Organic frozen berries with natural ingredients.,18.2,1614,Frozen
239,Pineapple,Premium pineapple from local farms.,14.51,2429,Fruits
240,Bun,Organic bun no added sugar.,15.29,2950,Bakery
241,Strawberry,Delicious strawberry packed with nutrients.,4.75,2017,Fruits
242,Frozen Pizza,Imported frozen pizza packed with nutrients.,14.92,2849,Frozen
243,Mango,Delicious mango from local farms.,7.24,1857,Fruits
244,Flour,Organic flour from local farms.,1.6,474,Pantry
245,Bagel,Imported bagel packed with nutrients.,2.61,2669,Bakery
246,Watermelon,Delicious watermelon packed with nutrients.,10.57,2126,Fruits
247,Cucumber,Gluten-free cucumber from local farms.,7.4,548,Vegetables
248,Rice Cakes,Premium rice cakes with natural ingredients.,2.18,1485,Snacks
249,Beans,Organic beans no added sugar.,9.82,2243,Pantry
250,Cereal,Premium cereal with natural ingredients.,2.64,1363,Pantry
251,Sausage,Locally sourced sausage from local farms.,12.54,2588,Meat
252,Lobster,Organic lobster with natural ingredients.,13.86,1303,Seafood
253,Strawberry,Organic strawberry hand-picked.,5.04,991,Fruits
254,Sardines,Imported sardines from local farms.,4.32,1675,Seafood
255,Sour Cream,Low-fat sour cream packed with nutrients.,18.6,2452,Dairy
256,Green Tea,Sugar-free green tea with natural ingredients.,17.98,140,Beverages
257,Kiwi,Gluten-free kiwi no added sugar.,16.79,312,Fruits
258,Onion,Gluten-free onion no added sugar.,15.29,1739,Vegetables
259,Fruit Snacks,Premium fruit snacks packed with nutrients.,3.61,2556,Snacks
260,Pear,Delicious pear no added sugar.,17.98,672,Fruits
261,Greek Yogurt,Imported greek yogurt no added sugar.,12.99,1946,Dairy
262,Energy Drink,Organic energy drink with natural ingredients.,14.38,2902,Beverages
263,Sour Cream,Low-fat sour cream packed with nutrients.,4.94,221,Dairy
264,Soda,Sugar-free soda hand-picked.,11.69,1770,Beverages
265,Orange Juice,Low-fat orange juice from local farms.,16.04,1197,Beverages
266,Milk,Fresh milk with natural ingredients.,7.92,2703,Dairy
267,Frozen Berries,Organic frozen berries packed with nutrients.,10.64,1686,Frozen
268,Iced Tea,Delicious iced tea hand-picked.,12.39,1636,Beverages
269,Lamb Chops,Locally sourced lamb chops no added sugar.,3.46,322,Meat
270,Chips,Delicious chips with natural ingredients.,4.27,713,Snacks
271,Crackers,Locally sourced crackers with natural ingredients.,15.86,1479,Snacks
272,Orange Juice,Imported orange juice hand-picked.,18.92,1632,Beverages
273,Strawberry,Sugar-free strawberry with natural ingredients.,7.62,739,Fruits
274,Cereal,Gluten-free cereal hand-picked.,15.36,1142,Pantry
275,Beans,Premium beans hand-picked.,8.66,2632,Pantry
276,Pie,Organic pie with natural ingredients.,2.73,949,Bakery
277,Grapes,Low-fat grapes hand-picked.,12.7,2095,Fruits
278,Granola Bar,Gluten-free granola bar hand-picked.,15.16,1121,Snacks
279,Ham,Premium ham with natural ingredients.,11.05,2072,Meat
280,Sausage,Sugar-free sausage with natural ingredients.,10.18,2932,Meat
281,Strawberry,Fresh strawberry hand-picked.,11.76,868,Fruits
282,Salmon,Imported salmon hand-picked.,16.17,159,Seafood
283,Chicken Breast,Locally sourced chicken breast packed with nutrients.,14.34,1714,Meat
284,Garlic,Low-fat garlic with natural ingredients.,17.1,1311,Vegetables
285,Olive Oil,Locally sourced olive oil hand-picked.,17.84,2127,Pantry
286,Ground Beef,Fresh ground beef with natural ingredients.,2.87,600,Meat
287,Beans,Low-fat beans no added sugar.,8.72,661,Pantry
288,Apple,Delicious apple with natural ingredients.,5.58,2791,Fruits
289,Chips,Imported chips packed with nutrients.,7.31,1121,Snacks
290,Pie,Imported pie from local farms.,19.62,660,Bakery
291,Crab,Sugar-free crab packed with nutrients.,12.44,742,Seafood
292,Lobster,Organic lobster no added sugar.,10.01,1183,Seafood
293,Zucchini,Organic zucchini with natural ingredients.,16.24,279,Vegetables
294,Nuts,Organic nuts packed with nutrients.,8.08,514,Snacks
295,Cottage Cheese,Fresh cottage cheese hand-picked.,2.69,537,Dairy
296,Cereal,Premium cereal from local farms.,17.9,2008,Pantry
297,Donut,Locally sourced donut packed with nutrients.,7.09,1017,Bakery
298,Popcorn,Gluten-free popcorn from local farms.,19.34,1536,Snacks
299,Baguette,Gluten-free baguette no added sugar.,5.67,1369,Bakery
300,Sour Cream,Low-fat sour cream no added sugar.,9.21,2470,Dairy
301,Crackers,Locally sourced crackers with natural ingredients.,19.82,1343,Snacks
302,Cheese,Low-fat cheese no added sugar.,12.11,215,Dairy
303,Yogurt,Locally sourced yogurt from local farms.,4.43,2242,Dairy
304,Cereal,Delicious cereal hand-picked.,10.0,1377,Pantry
305,Milk,Premium milk packed with nutrients.,18.61,814,Dairy
306,Granola Bar,Delicious granola bar from local farms.,15.1,2027,Snacks
307,Greek Yogurt,Locally sourced greek yogurt from local farms.,19.17,2458,Dairy
308,Rice Cakes,Imported rice cakes hand-picked.,5.79,2597,Snacks
309,Pineapple,Premium pineapple from local farms.,0.82,762,Fruits
310,Muffin,Locally sourced muffin with natural ingredients.,2.97,313,Bakery
311,Cream,Sugar-free cream from local farms.,14.65,1188,Dairy
312,Olive Oil,Delicious olive oil packed with nutrients.,15.41,2872,Pantry
313,Watermelon,Fresh watermelon from local farms.,17.3,358,Fruits
314,Frozen Berries,Organic frozen berries hand-picked.,12.29,2141,Frozen
315,Granola Bar,Locally sourced granola bar no added sugar.,19.48,1281,Snacks
316,Frozen Nuggets,Imported frozen nuggets no added sugar.,5.8,215,Frozen
317,Pork Chops,Organic pork chops with natural ingredients.,13.63,207,Meat
318,Orange Juice,Low-fat orange juice with natural ingredients.,19.79,1020,Beverages
319,Beef Steak,Gluten-free beef steak packed with nutrients.,13.12,728,Meat
320,Pasta,Organic pasta hand-picked.,9.52,2224,Pantry
321,Crab,Premium crab hand-picked.,6.51,2825,Seafood
322,Lettuce,Locally sourced lettuce no added sugar.,1.52,1546,Vegetables
323,Tuna,Low-fat tuna packed with nutrients.,6.0,2485,Seafood
324,Bacon,Gluten-free bacon no added sugar.,13.0,792,Meat
325,Cake,Locally sourced cake hand-picked.,6.28,576,Bakery
326,Lactose-Free Milk,Organic lactose-free milk packed with nutrients.,14.58,1232,Dairy
327,Pie,Low-fat pie no added sugar.,10.4,2667,Bakery
328,Tuna,Sugar-free tuna hand-picked.,19.83,450,Seafood
329,Pork Chops,Low-fat pork chops with natural ingredients.,4.75,2582,Meat
330,Banana,Delicious banana no added sugar.,15.11,882,Fruits
331,Frozen Fries,Gluten-free frozen fries with natural ingredients.,10.46,175,Frozen
332,Green Tea,Imported green tea from local farms.,3.47,544,Beverages
333,Mango,Sugar-free mango hand-picked.,3.25,617,Fruits
334,Zucchini,Sugar-free zucchini no added sugar.,11.54,811,Vegetables
335,Frozen Corn,Sugar-free frozen corn no added sugar.,0.5,2773,Frozen
336,Garlic,Low-fat garlic with natural ingredients.,13.14,2796,Vegetables
337,Smoothie,Imported smoothie hand-picked.,5.38,628,Beverages
338,Octopus,Imported octopus packed with nutrients.,15.55,423,Seafood
339,Iced Tea,Organic iced tea from local farms.,14.73,866,Beverages
340,Watermelon,Delicious watermelon from local farms.,10.48,2233,Fruits
341,Frozen Fries,Low-fat frozen fries with natural ingredients.,14.95,1670,Frozen
342,Shrimp,Delicious shrimp with natural ingredients.,1.53,2716,Seafood
343,Pasta,Organic pasta no added sugar.,16.4,1817,Pantry
344,Onion,Imported onion hand-picked.,7.26,1944,Vegetables
345,Kiwi,Gluten-free kiwi with natural ingredients.,6.79,1219,Fruits
346,Bacon,Organic bacon from local farms.,5.32,364,Meat
347,Orange Juice,Gluten-free orange juice no added sugar.,17.0,2664,Beverages
348,Cream,Delicious cream packed with nutrients.,3.16,492,Dairy
349,Cake,Organic cake with natural ingredients.,12.32,2338,Bakery
350,Salt,Premium salt from local farms.,9.52,1928,Pantry
351,Popcorn,Locally sourced popcorn no added sugar.,17.44,1767,Snacks
352,Vinegar,Imported vinegar from local farms.,9.13,2113,Pantry
353,Frozen Nuggets,Delicious frozen nuggets packed with nutrients.,19.98,2086,Frozen
354,Pretzels,Sugar-free pretzels from local farms.,5.25,1988,Snacks
355,Rice,Premium rice with natural ingredients.,11.03,1038,Pantry
356,Grapes,Gluten-free grapes hand-picked.,13.29,849,Fruits
357,Rice Cakes,Organic rice cakes no added sugar.,9.32,2344,Snacks
358,Frozen Nuggets,Delicious frozen nuggets no added sugar.,3.77,1489,Frozen
359,Spinach,Gluten-free spinach packed with nutrients.,9.94,624,Vegetables
360,Cheese,Delicious cheese packed with nutrients.,15.54,1924,Dairy
361,Turkey,Low-fat turkey packed with nutrients.,6.2,1272,Meat
362,Roll,Fresh roll with natural ingredients.,5.05,383,Bakery
363,Bacon,Low-fat bacon packed with nutrients.,11.98,424,Meat
364,Iced Tea,Sugar-free iced tea hand-picked.,11.72,2063,Beverages
365,Carrot,Delicious carrot hand-picked.,11.93,967,Vegetables
366,Bun,Organic bun with natural ingredients.,8.77,1886,Bakery
367,Coffee,Gluten-free coffee from local farms.,8.77,1484,Beverages
368,Apple,Delicious apple from local farms.,2.97,1820,Fruits
369,Kiwi,Sugar-free kiwi from local farms.,3.84,191,Fruits
370,Broccoli,Fresh broccoli no added sugar.,16.33,1482,Vegetables
371,Flour,Low-fat flour hand-picked.,1.53,2995,Pantry
372,Frozen Berries,Imported frozen berries from local farms.,4.08,2361,Frozen
373,Frozen Berries,Fresh frozen berries no added sugar.,5.99,2074,Frozen
374,Chips,Fresh chips hand-picked.,0.88,579,Snacks
375,Olive Oil,Organic olive oil packed with nutrients.,8.12,135,Pantry
376,Yogurt,Imported yogurt hand-picked.,9.35,2590,Dairy
377,Garlic,Fresh garlic no added sugar.,10.1,2915,Vegetables
378,Cod,Locally sourced cod with natural ingredients.,17.9,1204,Seafood
379,Croissant,Premium croissant from local farms.,9.16,2511,Bakery
380,Baguette,Organic baguette hand-picked.,3.7,474,Bakery
381,Pepper,Organic pepper with natural ingredients.,19.68,1173,Vegetables
382,Soda,Gluten-free soda hand-picked.,6.32,2519,Beverages
383,Cream,Delicious cream hand-picked.,16.16,2547,Dairy
384,Donut,Delicious donut with natural ingredients.,7.87,1907,Bakery
385,Spices,Sugar-free spices no added sugar.,9.88,1641,Pantry
386,Turkey,Fresh turkey packed with nutrients.,11.56,1805,Meat
387,Smoothie,Organic smoothie hand-picked.,19.55,161,Beverages
388,Cucumber,Fresh cucumber no added sugar.,17.02,2752,Vegetables
389,Sardines,Imported sardines no added sugar.,2.7,148,Seafood
390,Croissant,Delicious croissant packed with nutrients.,6.65,1672,Bakery
391,Ice Cream,Sugar-free ice cream hand-picked.,6.22,1056,Frozen
392,Popcorn,Low-fat popcorn with natural ingredients.,10.5,2500,Snacks
393,Mussels,Delicious mussels from local farms.,10.83,212,Seafood
394,Trail Mix,Low-fat trail mix with natural ingredients.,10.4,2885,Snacks
395,Ice Cream,Organic ice cream no added sugar.,13.46,1776,Frozen
396,Muffin,Delicious muffin hand-picked.,12.42,148,Bakery
397,Grapes,Premium grapes hand-picked.,17.33,1386,Fruits
398,Milk,Fresh milk with natural ingredients.,2.9,532,Dairy
399,Banana,Delicious banana with natural ingredients.,16.3,2614,Fruits
400,Bread,Premium bread with natural ingredients.,13.87,2459,Bakery
401,Pasta,Imported pasta from local farms.,6.14,199,Pantry
